Name,Location,Latitude, Longitude, Capacity (MW),Remarks
Altchemnitz Heating Power Station,"Altchemnitz, Saxony",50.4754, 12.552,232,"1972 - Oil (until 1981), natural gas"
Altbach Power Station,"Altbach, Baden-Württemberg",48.4312, 9.2221,1270, - Coal
Asdonkshof Waste Incineration Plant,"Kamp-Lintfort, North Rhine-Westphalia",51.31237, 6.34316,22 (98),1995 - Waste
Bergkamen Power Station,"Bergkamen, North Rhine-Westphalia",51.38126, 7.37145,747,1981 - Coal
Berlin-Buch Power Plant,Berlin,52.386, 13.30377,5,1974 - 
Berlin-Charlottenburg Heating Power Plant,Berlin-Charlottenburg,52.31196, 13.18318,215, - 
Berlin-Köpenick Power Plant,Berlin,52.267, 13.3454,10, - Gas
Berlin-Lichterfelde Power Plant,Berlin,52.25291, 13.1835,450,1974 - Gas
Berlin-Moabit Heating Power Plant,Berlin-Moabit,52.3215, 13.2045,150, - 
Berlin-Mitte Heating Power Plant,Berlin-Mitte,52.30413, 13.25157,440, - 
Berlin-Reuter/West Power Plant,Berlin-Charlottenburg,52.3245, 13.14402,600, - Coal
Berlin-Reutter,Berlin-Charlottenburg,52.31519, 13.14449,165,1930 - Waste
Berlin-Wilmersdorf Heating Power Plant,Berlin-Mitte,52.28539, 13.18282,330, - 
Berlin-Klingenberg Power Plant,Berlin,52.29249, 13.29459,188, - 
Berlin-Lichtenberg Power Plant,Berlin,52.31245, 13.31196,36, - 
Berrenrath Industrial Power Plant,Berrenrath,50.5155, 6.4926,107, - 
Bexbach Power Station,"Bexbach, Saarland",49.21481, 7.14138,773, - Coal
Bochum Heating Power Plant,Bochum,51.2759, 7.13103,21, - 
Boxberg Power Station,"Boxberg, Saxony",51.24535, 14.33416,2575, - Coal (lignite)
Braunschweig-Mitte Heating Power Plant,"Braunschweig, Lower Saxony",52.16437, 10.30536,319,1983 - 
Bremen-Farge Power Plant,Bremen,53.1275, 8.30576,343, - 
Bremen-Findorff Waste Incineration Plant,Bremen,53.651, 8.491,15, - 
