Name,Location,Latitude, Longitude, Capacity(MW),Remarks
Altchemnitz Heating Power Station,"Altchemnitz, Saxony",50.4754.9, 12.552.7,232,"1972 - Oil (until 1981), natural gas"
Altbach Power Station,"Altbach, Baden-Württemberg",48.431.42, 9.222.91,1270, - Coal
Asdonkshof Waste Incineration Plant,"Kamp-Lintfort, North Rhine-Westphalia",51.3123.17, 6.3431.96,22 (98),1995 - Waste
Bergkamen Power Station,"Bergkamen, North Rhine-Westphalia",51.3812.16, 7.3714.05,747,1981 - Coal
Berlin-Buch Power Plant,Berlin,52.386, 13.3037.17,5,1974 - 
Berlin-Charlottenburg Heating Power Plant,Berlin-Charlottenburg,52.3119.76, 13.1831.18,215, - 
Berlin-Köpenick Power Plant,Berlin,52.267, 13.3454,10, - Gas
Berlin-Lichterfelde Power Plant,Berlin,52.2529.81, 13.1835.4,450,1974 - Gas
Berlin-Moabit Heating Power Plant,Berlin-Moabit,52.3215, 13.2045,150, - 
Berlin-Mitte Heating Power Plant,Berlin-Mitte,52.3041.73, 13.2515.57,440, - 
Berlin-Reuter/West Power Plant,Berlin-Charlottenburg,52.324.45, 13.1440.32,600, - Coal
Berlin-Reutter,Berlin-Charlottenburg,52.3151.89, 13.1444.49,165,1930 - Waste
Berlin-Wilmersdorf Heating Power Plant,Berlin-Mitte,52.2853.89, 13.1828.32,330, - 
Berlin-Klingenberg Power Plant,Berlin,52.2924.09, 13.2945.39,188, - 
Berlin-Lichtenberg Power Plant,Berlin,52.3124.25, 13.3119.96,36, - 
Berrenrath Industrial Power Plant,Berrenrath,50.5155.2, 6.4926.8,107, - 
Bexbach Power Station,"Bexbach, Saarland",49.2148.51, 7.1413.38,773, - Coal
Bochum Heating Power Plant,Bochum,51.275.69, 7.1310.73,21, - 
Boxberg Power Station,"Boxberg, Saxony",51.2453.95, 14.3341.76,2575, - Coal (lignite)
Braunschweig-Mitte Heating Power Plant,"Braunschweig, Lower Saxony",52.1643.57, 10.3053.96,319,1983 - 
Bremen-Farge Power Plant,Bremen,53.127.65, 8.3057.96,343, - 
Bremen-Findorff Waste Incineration Plant,Bremen,53.651, 8.491,15.3, - 
Unit 6 of Bremen-Hafen Power Station,Bremen,53.729.54, 8.4343.11,450, - Coal
Bremen-Hastedt Power Plant,Bremen,53.0335.2, 8.5223.4,280, - 
Bremen-Mittelsbüren Power Plant,Bremen,53.0744.33, 8.410.22,280, - 
Bridge of Nossen Heating Power Plant,Dresden,51.0230.47, 13.4229.6,270, - 
Buschhaus Power Station,"Helmstedt, Lower Saxony",52.1018.35, 10.5837.89,380,1984 - Coal (lignite)
Castrop-Rauxel Power Station,"Castrop-Rauxel, North Rhine-Westphalia",51.3449.37, 7.1849.19,290, - Coal
Power Plant Chemnitz,Chemnitz,50.5128.01, 12.5525.79,195," - Coal (lignite), gas, Oil"
Cuno Power Station,"Herdecke, North Rhine-Westphalia",51.2415.41, 7.2449.09,, - 
Dortmund-Derne Power Station,"Dortmund-Derne, North Rhine-Westphalia",51.3412.38, 7.3140.98,, - Coal
Dresden-Reick Heating Power Station,"Dresden-Reick, Saxony",51.128.14, 13.4659.78,, - 
Datteln Power Station,Datteln,51.3748.16, 7.1952.73,1100, - Coal
Emsland Natural Gas Power Plant,Lingen,52.2850.93, 7.1820.11,864, - Natural gas
Ensdorf Power Plant,Ensdorf,49.1740.04, 6.4618.13,430, - 
Erfurt-Ost Heating Power Station,"Erfurt, Thuringia",51 00 55 , 011 02 23,, - 
Essen-Karnap Incineration Plant,"Essen-Karnap, North Rhine-Westphalia",51.3053.98, 6.5937.93,, - Waste
Franken I Power Plant,Nuremberg,49.2514.88, 11.0027.64,843, - 
Franken II Power Station,"Erlangen, Bavaria",49.3347, 10.5825,,1963/64 - 
Frankfurt Traction Current Power Plant,Frankfurt,50.0548.88, 8.395.26,12,1966 - 
Freimann Heating Power Plant,Munich,48.1118, 11.3642,160, - Natural gas
Frimmersdorf Power Station,"Frimmersdorf, North Rhine-Westphalia",51.316.19, 6.3433.31,623, - Coal (lignite)
Gemeinschaftskraftwerk Schweinfurt,Schweinfurt,50.148.31, 10.1324.98,126," - Coal, Waste"
Gera-Nord Heating Power Station (3 Essen),"Gera, Thuringia",50.5418.59, 12.348.34,, - 
Gersteinwerk,"Werne, North Rhine-Westphalia",51.4024.79, 7.4314.28,2127,1984 - Coal
Goldenberg Power Plant,Hürth,50.5140.47, 6.507.34,171, - 
Grosskrotzenburg Power Station,"Großkrotzenburg, Hessen",50.517.76, 8.575.97,1132, - Coal
Gustav Knepper Power Station,"Dortmund, North Rhine-Westphalia",51.3406.52, 7.2056.77,350, - Coal
"Hagenwerder Power Plant, Unit III","Görlitz/Hagenwerder, Saxony",51.342, 14.5655,,1972/73 - Coal
Hamm-Schmehausen Power Station,"Hamm-Schmehausen, North Rhine-Westphalia",51.4049.1, 7.5812.7,850, - Natural gas
Hannover-Stöcken Power Plant,Hannover,52.2513, 9.3851.03,230, - 
Herne Power Station,"Herne, North Rhine-Westphalia",51.332.36, 7.1115.27,950,1989 - Coal
Heilbronn Power Station,"Heilbronn, Baden-Württemberg",49.1031.91, 9.1227.19,1130, - Coal
Heyden Power Station,"Petershagen, North Rhine-Westphalia",52.2253.79, 8.5955.2,920, - Coal
Ibbenbüren Power Station,"Ibbenbüren, North Rhine-Westphalia",52.179.11, 7.4445.23,770,1985 - Anthracite
Ingolstadt Power Station,"Ingolstadt, Bavaria",48.4543.23, 11.3011.73,840, - Oil
Irsching Power Station,"Irsching, Bavaria",48.461.32, 11.3445.19,1869," - Natural gas, Oil"
Power Plant Jänschwalde,Jänschwalde,51.4956.07, 14.2710.89,3000,1981 - Coal (lignite)
Jena Heating Power Station,"Jena, Thuringia",50.5351.53, 11.3512.5,225, - Natural gas
Karlsruhe-West Heating Power Plant,Karlsruhe,49.050.98, 8.2051.56,33, - 
Karlsruhe RDK 7 and 8,Karlsruhe,49.047, 8.1829,1827, - Bituminous Coal
Kirchmöser Power Station,Brandenburg,52.2340.55, 12.254.97,160, - 
Kraftwerk Westfalen [de],"Siegenbeckstraße, Hamm-Uentrop",51.4049, 7.5811,305, - Coal
Lauchhammer-South Heating Plant,"Lauchhammer, Saxony",51.2814, 13.4646,, - 
Lausward Power Plant,Düsseldorf,51.1315.03, 6.4353.66,520, - 
Leuna Power Station,Leuna,51.1753.19, 12.0110.22,158, - 
Lingen Reffinery Power Plant,Lingen,52.3343.33, 7.189.49,68, - 
Lippendorf Power Station,"Lippendorf, Saxony",51.1036.37, 12.2234.94,,1967 - Coal (lignite)
Lippendorf Power Station,"Lippendorf, Saxony",51.1056, 12.2224,1867,1999/2000 - Coal (lignite)
Lünen Power Station,"Lünen, North Rhine-Westphalia",51.3650.79, 7.2853.12,500, - Coal
Lünen Trianel Coal Power Plant,"Lünen, North Rhine-Westphalia",51.3651, 7.2742,750,2013 - Coal
Mannheim-Neckarau Power Station,"Mannheim-Neckarau, Baden-Württemberg",49.2640, 8.2953,2146, - Coal
Marbach Power Plant,Marbach,48.5538.89, 9.1348.26,, - 
Marl-Chemiepark Power Station,"Marl, North Rhine-Westphalia",51.4134, 7.633,, - Coal
Marl-Chemiepark Power Station,"Marl, North Rhine-Westphalia",51.414.4, 7.559.62,, - 
Mehrum Power Station,"Hohenhameln, Lower Saxony",52.1854.16, 10.537.65,690, - Coal
Merkenich Heating Power Station,"Cologne, North Rhine-Westphalia",51.015.03, 6.5752.14,195," - Natural gas, Coal (lignite)"
Moers-Meerbeck Power Station,"Moers-Meerbeck, North Rhine-Westphalia",51.2813.95, 6.3832.78,, - Coal
Moorburg Power Plant,Hamburg,53.2920, 9.5656,1730,2015 - Coal
Munich-North Heating Power Plant,Munich,48.1052.44, 11.3823.36,360, - Coal
Munich-South Heating Power Plant,Munich,48.650.53, 11.3320.82,698," - Natural gas, Oil"
Neurath Power Station,Grevenbroich,51.0216.15, 6.3642.77,4300, - Coal (lignite)
Niederaussem Power Station,Niederaussem,50.5944, 6.4009,3864, - Coal (lignite)
Offleben Power Station,"Offleben, Lower Saxony",52.0845.64, 11.0141.92,, - Coal (lignite)
Pleinting Power Plant,Pleinting,48.408.78, 13.631,725,1968 - 2008 - Light oil
Rostock Power Station,Rostock,54.0834.24, 12.758.62,600, - Coal
Rüstersieler Power Station,"Rüstersieler, Lower Saxony",53.3356.93, 8.846.46,747, - Coal
Römerbrücke Heating Power Plant,Saarbrücken,49.1325.15, 7.0053.71,110, - 
Sindelfingen Heating Power Plant,Sindelfingen,48.4148.83, 8.5957.39,, - 
Schkopau Power Station,"Schkopau, Saxony-Anhalt",51.2354.44, 11.571.17,916, - Coal (lignite)
Schwedt Power Station,"Schwedt, Brandenburg",53.554.06, 14.1310.34,, - 
Power Plant Scholven,Gelsenkirchen,51.3612.84, 7.07.44,760, - Coal
Scholven A Power Station,"Gelsenkirchen, North Rhine-Westphalia",51.3559.83, 7.020.27,, - 
Schwandorf Power Station,"Schwandorf, Bavaria",49.1813.82, 12.439.05,, - Coal (lignite)
Schilling Power Station,"Stade, Lower Saxony",53.374, 9.3157,,1962 - Oil
Schwarze Pumpe power station,Spremberg,51.328.93, 14.2117.11,1600, - Coal (lignite)
Stuttgart-Gaisburg Power Plant,Stuttgart,48.4656.09, 9.1352.81,60, - 
