Name,Location,Latitude, Longitude, Capacity (MW),Remarks
VAK,Kahl am Main,50.0591294, 8.9871812,15,1960–1985
MZFR,Leopoldshafen,49.1043102, 8.4325862,52,1965–1984
AVR,Jülich,50.9030599, 6.4213693,13,1966–1988
KKR,Rheinsberg,53.1472465, 12.9903674,62,1966–1990
KRB Unit A,Gundremmingen,48.513264, 10.4020357,238,1966–1977
KRB Unit B,Gundremmingen,48.5148276, 10.402379,1284,1984–2017[1]
KRB Unit C,Gundremmingen,48.5155383, 10.4020786,1288,1985–2021
KWO,Obrigheim,49.364503, 9.076252,340,1968–2005
KWL,Lingen,52.4831853, 7.3005223,250,1968–1977
HDR,Grosswelzheim,50.0551446, 8.9848691,23,1969–1971
KKS,Stade,53.6200685, 9.5306289,640,1972–2003
KKN,Niederaichbach,48.6058015, 12.3000848,100,1973–1974
KGR Unit 1,Greifswald,54.1417497, 13.6583877,408,1974–1990
KGR Unit 2,Greifswald,54.1417623, 13.6597395,408,1975–1990
KGR Unit 3,Greifswald,54.1415235, 13.6624217,408,1978–1990
KGR Unit 4,Greifswald,54.1414229, 13.663644,408,1979–1990
KGR Unit 5,Greifswald,54.140631, 13.6664128,408,1989–1990
KWB Unit A,Biblis,49.709331, 8.415865,1176,1975–2011
KWB Unit B,Biblis,49.7089474, 8.413285,1240,1977–2011
KWW,Würgassen,51.6396481, 9.3915617,640,1975–1994
GKN Unit 1,Neckarwestheim,49.0401151, 9.1721088,785,1976–2011
GKN Unit 2,Neckarwestheim,49.0406214, 9.1755903,1269,1989–April 2023
KKB,Brunsbüttel,53.8913533, 9.2005777,771,1977–2011
KKI Isar Unit 1,Essenbach,48.6044748, 12.2972095,870,1979–2011
KKI Isar Unit 2,Essenbach,48.6055532, 12.2931647,1365,1988–April 2023
KKU Unterweser,Stadland,53.4293465, 8.4774649,1285,1979–2011
KNK-I/II,Leopoldshafen,49.0973279, 8.4327739,21,1979–1991
KKP Unit 1,Philippsburg,49.2513078, 8.4356761,890,1980–2011
KKP Unit 2,Philippsburg,49.2513078, 8.4356761,1358,1985–2019
KKG,Grafenrheinfeld,49.9841308, 10.1846373,1275,1981–2015
KKK Krümmel,Geesthacht,53.4104656, 10.4091597,1260,1984–2011
KWG,Grohnde,52.0348748, 9.4097793,1360,1985–2021
KBR,Brokdorf,53.850666, 9.3457603,1326,1986–2021
KMK,Mülheim-Kärlich,50.408791, 7.4861956,1219,1987–1988
THTR,Hamm-Uentrop,51.6786228, 7.9700232,296,1987–1988
KKE,Emsland,52.4716974, 7.3206389,1290,1988–April 2023
